81;Послуги з висвітлення діяльності Запорізької обласної державної адміністрації друкованим способом;11130691;Код ДК 021-2015 (CPV): 79800000-2 - Друкарські та супутні послуги;4000;2021-06-07 15:10:00+03;Завершена;UA-2021-06-07-002181-a;Державна або публічна установа ;Закупівля без використання електронної системи
82;Оренда транспортного засобу;11064995;Код ДК 021-2015 (CPV): 99999999-9 - Не відображене в інших розділах;7800;2021-06-02 15:19:00+03;Завершена;UA-2021-06-02-008882-b;Державна або публічна установа ;Закупівля без використання електронної системи
83;Монтаж системи пожежної сигналізації та оповіщення;11063594;Код ДК 021-2015 (CPV): 45300000-0 - Будівельно-монтажні роботи;49998;2021-06-02 14:54:00+03;Завершена;UA-2021-06-02-008160-b;Державна або публічна установа ;Закупівля без використання електронної системи
84;Послуги з дезінфікування та витравлювання;11041834;Код ДК 021-2015 (CPV): 90900000-6 - Послуги з прибирання та санітарно-гігієнічні послуги;1748;2021-06-01 14:59:00+03;Завершена;UA-2021-06-01-001921-a;Державна або публічна установа ;Закупівля без використання електронної системи
85;Послуги з ремонту меблів;11041480;Код ДК 021-2015 (CPV): 50800000-3 - Послуги з різних видів ремонту і технічного обслуговування;1772;2021-06-01 14:50:00+03;Завершена;UA-2021-06-01-001872-a;Державна або публічна установа ;Закупівля без використання електронної системи
86;Послуги з технічного обслуговування протипожежного обладнання адміністративної будівлі;11040844;Код ДК 021-2015 (CPV): 50400000-9 - Послуги з ремонту і технічного обслуговування медичного і високоточного обладнання;763;2021-06-01 14:37:00+03;Завершена;UA-2021-06-01-001775-a;Державна або публічна установа ;Закупівля без використання електронної системи
87;Послуги з прибирання та підмітання вулиць та прибудинкової території;11037385;Код ДК 021-2015 (CPV): 90600000-3 - Послуги з прибирання й асенізації для міських і сільських громад та супутні послуги;7817;2021-06-01 12:50:00+03;Завершена;UA-2021-06-01-001961-c;Державна або публічна установа ;Закупівля без використання електронної системи
88;Послуги з технічного обслуговування ліфтів;11037133;Код ДК 021-2015 (CPV): 50700000-2 - Послуги з ремонту і технічного обслуговування будівельних конструкцій;8692;2021-06-01 12:40:00+03;Завершена;UA-2021-06-01-001884-c;Державна або публічна установа ;Закупівля без використання електронної системи
89;Послуги з  технічного обслуговування охолоджувальних установок;11036879;Код ДК 021-2015 (CPV): 50700000-2 - Послуги з ремонту і технічного обслуговування будівельних конструкцій;25486;2021-06-01 12:32:00+03;Завершена;UA-2021-06-01-005703-b;Державна або публічна установа ;Закупівля без використання електронної системи
90;Послуги з технічного обслуговування систем водопостачання;11036722;Код ДК 021-2015 (CPV): 65100000-4 - Послуги з розподілу води та супутні послуги;28246;2021-06-01 12:26:00+03;Завершена;UA-2021-06-01-001261-a;Державна або публічна установа ;Закупівля без використання електронної системи
